Role,Experience,Experience_Years,AI_Tools_Used,Num_AI_Tools,AI_Use_Frequency,AI_Use_Frequency_Score,Tech_Comfort,Tech_Comfort_Score,AI_Understanding,AI_Understanding_Score,AI_Training,AI_Training_Score,Trans_1,Trans_2,Trans_3,Trans_4,Trans_5,Trans_6,Trans_7,Trans_8,Trans_9,Trans_10,Trust_1,Trust_2,Trust_3,Trust_4,Trust_5,Trust_6,Trust_7,Trust_8,Trust_9,Trust_10,Disclose_1,Disclose_2,Disclose_3,Disclose_4,Disclose_5,Disclose_6,Disclose_7,Disclose_8,Disclose_9,Disclose_10,Transparency_Score,Limitation_Disclosure_Score,Trust_In_Transparent_Systems,General_Trust_Score,Disclosure_Preference,AI_Understanding_Group
Emergency Medicine Physician,More than 20 years,25.0,AI-based diagnostic tools,1,Rarely,1,Somewhat comfortable,4,Good understanding,4,Specialized training/expertise,5,5,4,4,4,3,2,4,3,4,4,2,3,3,3,1,3,4,3,2,4,4,5,5,5,5,5,4,5,4,5,3.888888888888889,4.7,3.5645833333333337,2.888888888888889,High Preference,High Understanding
Physician Assistant in Emergency Department,11-15 years,13.0,None of the above,0,Never,0,Somewhat uncomfortable,2,No understanding,1,Brief introduction/overview,2,4,4,4,5,5,1,3,5,1,4,2,2,3,1,1,1,4,3,4,1,4,5,5,4,5,4,5,5,4,4,3.888888888888889,4.5,3.3545833333333337,2.0,High Preference,Low Understanding
Emergency Department Triage Nurse,6-10 years,8.0,None of the above,0,Never,0,Very uncomfortable,1,Limited understanding,2,Moderate training,3,5,5,5,3,3,2,3,3,4,4,3,1,2,2,2,3,2,2,2,3,5,4,4,3,3,3,5,4,3,4,3.5555555555555554,3.8,2.01125,2.2222222222222223,Low Preference,Low Understanding
Emergency Department Triage Nurse,6-10 years,8.0,None of the above,0,Never,0,Very uncomfortable,1,Limited understanding,2,Moderate training,3,3,4,4,2,2,1,3,4,4,3,2,2,3,2,2,2,4,3,5,2,4,4,4,4,4,5,5,4,5,4,3.4444444444444446,4.3,3.494583333333334,2.4444444444444446,High Preference,Low Understanding
Emergency Department Triage Nurse,11-15 years,13.0,"AI-based diagnostic tools, EHR with embedded AI, Clinical decision support systems, Computerized triage systems",4,Regularly,3,Very comfortable,5,Excellent understanding,5,Specialized training/expertise,5,5,4,5,5,5,3,4,5,4,5,4,5,5,5,3,5,5,5,2,3,5,5,5,4,5,5,5,5,5,5,4.666666666666667,4.9,5.0,4.444444444444445,High Preference,High Understanding
Emergency Medicine Physician,16-20 years,18.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,Brief introduction/overview,2,4,4,3,3,5,4,2,3,3,3,2,2,4,1,2,2,4,3,1,1,4,5,4,5,5,4,4,5,5,5,3.3333333333333335,4.6,3.0,2.3333333333333335,High Preference,Low Understanding
Emergency Department Nurse,16-20 years,18.0,"Automated risk scoring systems, AI-based diagnostic tools",2,Rarely,1,Somewhat uncomfortable,2,No understanding,1,No training,1,3,4,5,3,5,1,3,5,4,4,2,2,4,3,2,2,4,4,3,3,5,5,5,4,5,5,5,4,4,4,4.0,4.6,4.101249999999999,2.888888888888889,High Preference,Low Understanding
Emergency Medicine Physician,16-20 years,18.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,3,3,4,4,4,1,3,3,4,3,2,2,4,3,1,2,4,4,4,1,5,4,3,4,5,5,5,5,5,5,3.4444444444444446,4.6,4.20125,2.5555555555555554,High Preference,Low Understanding
Physician Assistant in Emergency Department,11-15 years,13.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,Brief introduction/overview,2,3,4,3,3,4,1,4,4,3,2,3,2,3,2,2,2,2,2,5,1,3,4,4,3,5,4,5,4,4,3,3.3333333333333335,3.9,2.1745833333333335,2.111111111111111,High Preference,Low Understanding
Emergency Department Triage Nurse,1-5 years,3.0,None of the above,0,Never,0,Very uncomfortable,1,Limited understanding,2,Brief introduction/overview,2,4,4,3,5,4,2,5,4,4,4,2,1,5,4,3,1,3,3,4,3,4,4,5,4,5,1,4,4,4,4,4.111111111111111,4.2,3.1312500000000005,2.5555555555555554,High Preference,Low Understanding
Emergency Department Nurse,1-5 years,3.0,"Automated risk scoring systems, Clinical decision support systems, AI-based diagnostic tools",3,Regularly,3,Neutral,3,Good understanding,4,Comprehensive training,4,4,3,4,4,4,3,4,4,3,4,3,4,4,4,3,3,4,4,3,3,4,5,4,5,4,5,5,5,5,4,3.7777777777777777,4.6,4.101249999999999,3.5555555555555554,High Preference,High Understanding
Emergency Medicine Physician,16-20 years,18.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,3,4,3,3,3,1,5,4,2,3,1,2,4,2,2,2,3,3,4,1,4,5,4,4,1,3,5,4,4,3,3.111111111111111,4.0,3.3545833333333337,2.2222222222222223,High Preference,Low Understanding
Emergency Department Nurse,11-15 years,13.0,AI-based diagnostic tools,1,Rarely,1,Somewhat uncomfortable,2,Limited understanding,2,Brief introduction/overview,2,4,3,4,5,3,2,4,4,3,3,1,3,4,2,1,2,4,4,2,2,5,5,5,4,5,4,5,4,4,4,3.6666666666666665,4.6,4.101249999999999,3.0,High Preference,Low Understanding
Emergency Department Nurse,Less than 1 year,0.5,"EHR with embedded AI, Computerized triage systems, Automated risk scoring systems",3,Frequently,4,Very comfortable,5,Excellent understanding,5,Specialized training/expertise,5,5,4,3,3,4,3,5,3,5,5,4,3,2,5,4,3,3,3,2,3,5,5,5,4,4,5,5,4,4,5,4.111111111111111,4.5,2.7379166666666666,3.3333333333333335,High Preference,High Understanding
Emergency Department Triage Nurse,1-5 years,3.0,None of the above,0,Never,0,Very uncomfortable,1,Limited understanding,2,Brief introduction/overview,2,5,3,4,4,4,3,3,4,4,3,1,1,4,4,2,2,4,3,2,3,1,5,5,5,5,4,4,5,3,2,3.6666666666666665,4.6,3.9179166666666667,2.5555555555555554,High Preference,Low Understanding
Emergency Department Triage Nurse,11-15 years,13.0,"EHR with embedded AI, Computerized triage systems, Clinical decision support systems, AI-based diagnostic tools",4,Regularly,3,Somewhat comfortable,4,Excellent understanding,5,Specialized training/expertise,5,4,4,3,4,3,4,4,3,4,5,5,4,4,2,4,5,2,3,3,4,5,4,4,4,4,4,3,5,4,4,3.7777777777777777,4.1,3.1012500000000003,3.7777777777777777,High Preference,High Understanding
Nurse Practitioner in Emergency Department,Less than 1 year,0.5,AI-based diagnostic tools,1,Rarely,1,Somewhat uncomfortable,2,Moderate understanding,3,Brief introduction/overview,2,4,3,4,5,4,2,4,4,4,3,4,2,1,1,2,3,4,5,2,3,5,5,5,5,5,4,5,5,4,5,3.888888888888889,4.8,4.21125,3.0,High Preference,High Understanding
Emergency Department Nurse,1-5 years,3.0,None of the above,0,Never,0,Somewhat uncomfortable,2,Limited understanding,2,Moderate training,3,5,3,3,5,4,3,4,5,4,4,2,2,3,2,2,2,1,3,3,4,5,5,5,4,3,4,4,3,5,4,3.888888888888889,4.0,2.2545833333333336,2.2222222222222223,High Preference,Low Understanding
Emergency Medicine Physician,6-10 years,8.0,"EHR with embedded AI, AI-based diagnostic tools",2,Occasionally,2,Very uncomfortable,1,Limited understanding,2,Moderate training,3,4,5,3,3,4,1,4,3,3,3,1,3,4,1,1,3,3,3,5,3,5,4,4,4,5,5,4,4,4,5,3.5555555555555554,4.4,3.474583333333334,2.4444444444444446,High Preference,Low Understanding
Emergency Department Triage Nurse,11-15 years,13.0,None of the above,0,Never,0,Somewhat uncomfortable,2,No understanding,1,Moderate training,3,3,3,4,3,5,1,4,3,4,4,3,2,4,2,2,2,3,4,5,2,5,5,5,5,4,5,5,5,5,1,3.6666666666666665,4.9,4.007916666666667,2.6666666666666665,High Preference,Low Understanding
Emergency Department Triage Nurse,11-15 years,13.0,"EHR with embedded AI, Computerized triage systems",2,Occasionally,2,Somewhat comfortable,4,Good understanding,4,Comprehensive training,4,4,3,5,4,3,3,2,3,4,3,3,4,5,4,2,2,5,4,2,2,5,5,5,5,4,5,5,5,5,4,3.4444444444444446,4.8,4.977916666666667,3.4444444444444446,High Preference,High Understanding
Emergency Department Nurse,1-5 years,3.0,"AI-based diagnostic tools, Automated risk scoring systems",2,Rarely,1,Very uncomfortable,1,Limited understanding,2,Brief introduction/overview,2,2,2,4,3,3,1,4,3,4,3,3,2,5,2,3,1,4,5,5,2,5,4,5,2,5,4,5,4,5,5,3.111111111111111,4.6,4.767916666666667,3.0,High Preference,Low Understanding
Emergency Department Triage Nurse,11-15 years,13.0,AI-based diagnostic tools,1,Occasionally,2,Neutral,3,Moderate understanding,3,Moderate training,3,4,3,3,5,3,1,3,3,4,4,1,3,3,3,2,4,3,3,5,4,5,4,4,4,5,4,4,3,4,4,3.5555555555555554,4.1,3.1012500000000003,2.888888888888889,High Preference,High Understanding
Emergency Department Nurse,1-5 years,3.0,"AI-based diagnostic tools, Clinical decision support systems, Automated risk scoring systems, Computerized triage systems",4,Frequently,4,Very comfortable,5,Good understanding,4,Specialized training/expertise,5,4,3,4,4,3,4,3,4,4,1,4,3,3,3,1,3,5,5,1,3,5,5,5,5,4,3,4,4,4,4,3.5555555555555554,4.3,4.344583333333333,3.3333333333333335,High Preference,High Understanding
Emergency Department Nurse,6-10 years,8.0,"AI-based diagnostic tools, EHR with embedded AI, Automated risk scoring systems, Computerized triage systems",4,Frequently,4,Somewhat comfortable,4,Good understanding,4,Comprehensive training,4,3,5,5,4,4,2,4,5,4,4,2,4,5,4,3,3,4,4,2,3,5,4,5,5,4,5,5,4,5,5,4.222222222222222,4.7,4.464583333333333,3.5555555555555554,High Preference,High Understanding
Emergency Department Nurse,11-15 years,13.0,"Clinical decision support systems, Computerized triage systems, EHR with embedded AI, AI-based diagnostic tools",4,Regularly,3,Neutral,3,Good understanding,4,Comprehensive training,4,5,4,4,4,4,2,5,5,4,3,4,3,4,1,1,3,5,5,5,3,5,5,5,4,5,5,4,5,4,4,4.222222222222222,4.6,4.767916666666667,3.2222222222222223,High Preference,High Understanding
Emergency Medicine Physician,11-15 years,13.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,Brief introduction/overview,2,3,3,5,3,5,1,3,3,3,3,2,1,4,1,2,3,5,5,5,2,5,5,5,5,5,5,5,5,4,5,3.4444444444444446,4.9,4.957916666666668,2.7777777777777777,High Preference,Low Understanding
Emergency Medicine Physician,16-20 years,18.0,None of the above,0,Never,0,Neutral,3,Moderate understanding,3,Moderate training,3,3,5,4,3,4,2,4,3,3,3,2,3,5,3,3,4,4,4,2,2,4,1,5,5,5,4,4,4,4,5,3.5555555555555554,4.5,4.504583333333334,3.3333333333333335,High Preference,High Understanding
Emergency Medicine Physician,11-15 years,13.0,"EHR with embedded AI, Clinical decision support systems, AI-based diagnostic tools",3,Regularly,3,Very comfortable,5,Excellent understanding,5,Specialized training/expertise,5,4,5,4,5,3,5,5,3,4,2,4,2,3,5,2,5,4,4,1,5,4,5,5,4,1,5,4,5,5,5,3.888888888888889,4.7,3.8979166666666667,3.7777777777777777,High Preference,High Understanding
Emergency Department Triage Nurse,6-10 years,8.0,Computerized triage systems,1,Never,0,Somewhat uncomfortable,2,Limited understanding,2,Brief introduction/overview,2,4,3,3,3,5,1,4,3,3,3,3,3,4,2,2,2,2,3,4,4,4,4,4,4,4,4,4,5,5,4,3.4444444444444446,4.2,3.1312500000000005,2.7777777777777777,High Preference,Low Understanding
Emergency Department Nurse,1-5 years,3.0,"Automated risk scoring systems, EHR with embedded AI",2,Occasionally,2,Somewhat comfortable,4,Good understanding,4,Specialized training/expertise,5,5,2,4,3,5,3,5,4,3,5,3,3,3,1,4,4,3,5,3,4,5,5,4,4,5,5,5,5,5,4,4.0,4.7,3.7979166666666666,3.3333333333333335,High Preference,High Understanding
Emergency Department Nurse,6-10 years,8.0,"Clinical decision support systems, Computerized triage systems, EHR with embedded AI",3,Frequently,4,Somewhat comfortable,4,Good understanding,4,Moderate training,3,4,3,4,4,4,4,4,5,4,4,2,2,5,4,2,2,3,4,2,3,4,4,4,4,5,5,5,4,5,5,4.111111111111111,4.5,4.07125,3.2222222222222223,High Preference,High Understanding
Nurse Practitioner in Emergency Department,1-5 years,3.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,1,3,4,4,3,1,4,3,3,3,3,1,5,1,1,3,3,3,4,1,5,3,5,4,4,4,5,5,4,5,3.4444444444444446,4.4,3.757916666666667,2.3333333333333335,High Preference,Low Understanding
Emergency Medicine Physician,1-5 years,3.0,"Clinical decision support systems, Computerized triage systems, EHR with embedded AI, AI-based diagnostic tools",4,Regularly,3,Somewhat comfortable,4,Good understanding,4,Comprehensive training,4,4,3,4,4,3,3,3,3,4,4,2,4,3,2,4,2,3,3,3,4,5,5,5,5,4,5,4,5,5,5,3.5555555555555554,4.8,3.26125,3.0,High Preference,High Understanding
Emergency Department Nurse,More than 20 years,25.0,"Computerized triage systems, Clinical decision support systems",2,Regularly,3,Neutral,3,Moderate understanding,3,Comprehensive training,4,3,4,3,4,4,1,3,4,2,4,4,2,3,2,3,3,4,3,3,4,5,5,5,2,4,5,4,4,4,5,3.3333333333333335,4.5,3.4045833333333335,3.111111111111111,High Preference,High Understanding
Emergency Department Triage Nurse,6-10 years,8.0,EHR with embedded AI,1,Never,0,Somewhat uncomfortable,2,No understanding,1,No training,1,4,1,3,3,4,1,3,4,4,4,2,3,4,2,1,1,3,3,3,2,4,4,4,5,4,4,5,4,5,5,3.7777777777777777,4.4,3.524583333333334,2.3333333333333335,High Preference,Low Understanding
Emergency Medicine Physician,16-20 years,18.0,"Clinical decision support systems, Automated risk scoring systems",2,Never,0,Very uncomfortable,1,No understanding,1,No training,1,3,4,2,2,3,1,5,3,3,3,1,1,2,1,2,4,3,2,3,2,4,4,5,4,4,4,4,4,4,3,3.4444444444444446,4.0,1.0,1.6666666666666667,High Preference,Low Understanding
Emergency Medicine Physician,11-15 years,13.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,Brief introduction/overview,2,2,4,4,4,5,2,3,4,3,4,1,1,4,1,2,1,3,5,4,1,4,5,5,3,5,5,4,5,4,5,3.6666666666666665,4.5,4.171250000000001,2.111111111111111,High Preference,Low Understanding
Emergency Department Nurse,16-20 years,18.0,"Clinical decision support systems, AI-based diagnostic tools",2,Never,0,Somewhat uncomfortable,2,Moderate understanding,3,Comprehensive training,4,5,4,3,3,3,3,4,3,4,4,2,2,3,4,1,3,2,2,3,2,4,4,5,5,4,4,5,5,5,4,3.6666666666666665,4.5,2.4045833333333335,2.2222222222222223,High Preference,High Understanding
Emergency Medicine Physician,6-10 years,8.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,4,4,2,3,3,3,4,5,4,4,2,3,1,3,1,1,3,2,3,2,4,4,4,4,4,4,4,4,4,5,3.4444444444444446,4.0,2.02125,2.0,High Preference,Low Understanding
Nurse Practitioner in Emergency Department,6-10 years,8.0,None of the above,0,Never,0,Very uncomfortable,1,No understanding,1,No training,1,3,1,4,4,4,1,3,4,2,4,2,2,4,2,2,1,3,3,5,2,4,4,5,4,5,1,4,5,4,5,3.5555555555555554,4.4,3.424583333333334,2.3333333333333335,High Preference,Low Understanding
Physician Assistant in Emergency Department,6-10 years,8.0,"Clinical decision support systems, EHR with embedded AI, Automated risk scoring systems, Computerized triage systems",4,Frequently,4,Very comfortable,5,Excellent understanding,5,Specialized training/expertise,5,4,4,5,4,3,4,5,4,3,4,5,3,4,3,4,5,4,5,1,3,4,5,5,5,5,5,5,5,5,5,4.0,4.9,4.474583333333333,4.0,High Preference,High Understanding
Emergency Department Triage Nurse,1-5 years,3.0,"AI-based diagnostic tools, Computerized triage systems",2,Occasionally,2,Somewhat uncomfortable,2,Good understanding,4,Moderate training,3,4,4,4,4,4,3,3,1,3,4,2,3,4,3,3,2,3,4,4,4,5,5,5,4,5,5,4,4,4,5,3.6666666666666665,4.6,3.9179166666666667,3.111111111111111,High Preference,High Understanding
Physician Assistant in Emergency Department,11-15 years,13.0,"AI-based diagnostic tools, Clinical decision support systems",2,Rarely,1,Neutral,3,Moderate understanding,3,No training,1,4,4,4,5,4,2,4,4,3,4,3,3,5,3,1,3,5,4,4,3,4,5,5,5,5,5,4,4,3,4,4.0,4.4,4.657916666666667,3.3333333333333335,High Preference,High Understanding
Physician Assistant in Emergency Department,1-5 years,3.0,"Automated risk scoring systems, EHR with embedded AI",2,Occasionally,2,Somewhat comfortable,4,Good understanding,4,Specialized training/expertise,5,3,3,4,3,3,3,3,4,4,4,2,4,3,4,4,4,4,5,3,4,3,4,5,4,5,4,5,5,5,5,3.4444444444444446,4.5,3.3545833333333337,3.5555555555555554,High Preference,High Understanding
Emergency Medicine Physician,Less than 1 year,0.5,AI-based diagnostic tools,1,Never,0,Very uncomfortable,1,No understanding,1,No training,1,3,3,3,4,2,1,3,3,3,3,2,3,4,2,1,1,3,4,5,1,5,5,4,3,5,4,5,3,5,4,3.0,4.3,3.7779166666666666,2.3333333333333335,High Preference,Low Understanding
Nurse Practitioner in Emergency Department,11-15 years,13.0,Clinical decision support systems,1,Rarely,1,Somewhat uncomfortable,2,Limited understanding,2,No training,1,4,2,4,4,4,1,3,5,3,4,2,2,4,1,1,2,5,4,3,1,5,4,4,4,5,5,5,4,5,5,3.4444444444444446,4.6,4.484583333333333,2.5555555555555554,High Preference,Low Understanding
Emergency Department Nurse,1-5 years,3.0,"Clinical decision support systems, AI-based diagnostic tools, EHR with embedded AI, Automated risk scoring systems",4,Frequently,4,Somewhat comfortable,4,Excellent understanding,5,Specialized training/expertise,5,5,4,4,4,3,5,4,2,2,5,3,3,4,4,3,3,3,4,1,3,4,4,5,5,4,5,5,5,4,4,4.0,4.5,3.7379166666666666,3.3333333333333335,High Preference,High Understanding
